barcode_id	gene_id	high_prop
11	5720	1
12	55847	1
13	25803	1
14	466	1
15	6009	1
16	3480	1
17	2309	1
18	2946	1
19	387	1
20	3553	1
21	427	1
22	5898	1
23	23365	1
24	6657	1
25	5054	1
26	3108	1
27	1950	1
28	9517	1
29	351	1
30	25987	1
31	23670	1
32	4846	1
33	1452	1
34	4776	1
35	6908	1
36	11182	1
37	2146	1
38	3385	1
39	672	1
40	5710	1
41	5261	1
42	2115	1
43	10765	1
44	25839	1
45	4172	1
46	7015	1
47	23161	1
48	10298	1
49	1802	1
50	58533	1
51	8726	1
52	147179	1
53	29937	1
54	6184	1
55	9854	1
56	2553	1
57	5440	1
58	2185	1
59	54623	1
60	9533	1
61	8607	1
62	207	1
63	26054	1
64	3315	1
65	10682	1
66	8573	1
67	23378	1
68	5289	1
69	8553	1
70	622	1
71	9467	1
72	5525	1
73	256364	1
74	332	1
75	2058	1
76	7849	1
77	868	1
78	23244	1
79	1677	1
80	7043	1
81	7494	1
82	4836	1
83	23647	1
84	10617	1
85	5613	1
86	2184	1
87	5355	1
88	6659	1
89	7016	1
90	90861	1
91	10670	1
92	79071	1
93	64746	1
94	5366	1
95	11344	1
96	10013	1
97	595	1
98	5829	1
99	5257	1
100	4793	1
101	22794	1
102	9761	1
103	2736	1
104	23326	1
105	10972	1
106	10523	1
107	5290	1
108	79090	1
109	27032	1
110	9097	1
111	10513	1
112	6194	1
113	1891	1
114	3066	1
115	1676	1
116	9801	1
117	23512	1
118	1459	1
119	148022	1
120	9703	1
121	10606	1
122	1017	1
123	1906	1
124	9813	1
125	8878	1
126	3091	1
127	7485	1
128	2109	1
129	23271	1
130	9915	1
131	9552	1
132	93487	1
133	2956	1
134	11065	1
135	9653	1
136	200081	1
137	3337	1
138	11073	1
139	23	1
140	5641	1
141	5743	1
142	5321	1
143	4144	1
144	8720	1
145	10782	1
146	25932	1
147	1981	1
148	695	1
149	10398	1
150	5708	1
151	1213	1
152	3028	1
153	6804	1
154	226	1
155	6777	1
156	890	1
157	6390	1
158	2113	1
159	4303	1
160	10953	1
161	22889	1
162	3098	1
163	11044	1
164	8985	1
165	66008	1
166	9217	1
167	3329	1
168	701	1
169	6182	1
170	4860	1
171	1050	1
172	9491	1
173	7398	1
174	6117	1
175	23588	1
176	949	1
177	7168	1
178	9375	1
179	22926	1
180	4927	1
181	2523	1
182	58497	1
183	6856	1
184	26036	1
185	5899	1
186	10206	1
187	25793	1
188	5467	1
189	55556	1
190	6774	1
191	3978	1
192	10681	1
193	3638	1
194	1788	1
195	8349	1
196	6275	1
197	3895	1
198	392	1
199	9170	1
200	80347	1
201	5921	1
202	23300	1
203	836	1
204	5721	1
205	11188	1
206	10898	1
207	9276	1
208	1647	1
209	10285	1
210	23386	1
211	2263	1
212	3156	1
213	10237	1
214	7077	1
215	11157	1
216	808	1
217	22908	1
218	10915	1
219	9897	1
220	1759	1
221	54541	1
222	211	1
223	5048	1
224	84722	1
225	30001	1
226	348	1
227	29890	1
228	9868	1
229	873	1
230	5580	1
231	30849	1
232	1454	1
233	3725	1
234	23585	1
235	51097	1
236	1831	1
237	7020	1
238	55893	1
239	6944	1
240	22883	1
241	5601	1
242	6500	1
243	10775	1
244	4780	1
245	10904	1
246	9917	1
247	5627	1
